Time resolution is 1 ps
Time = 4040000 | data_in = e708 | data_out = b330 | rst = 0
Time = 4050000 | data_in = e708 | data_out = acd5 | rst = 0
Time = 4060000 | data_in = b16c | data_out = acd5 | rst = 0
Time = 4070000 | data_in = b16c | data_out = b61d | rst = 0
Time = 4080000 | data_in = a03c | data_out = b61d | rst = 0
Time = 4090000 | data_in = a03c | data_out = bf71 | rst = 0
Time = 4100000 | data_in = c9f7 | data_out = bf71 | rst = 0
Time = 4110000 | data_in = c9f7 | data_out = b93a | rst = 0
Time = 4120000 | data_in = f3ba | data_out = b93a | rst = 0
Time = 4130000 | data_in = f3ba | data_out = a96d | rst = 0
Time = 4140000 | data_in = e2a4 | data_out = a96d | rst = 0
Time = 4150000 | data_in = e2a4 | data_out = a34f | rst = 0
Time = 4160000 | data_in = ad33 | data_out = a34f | rst = 0
Time = 4170000 | data_in = ad33 | data_out = acd6 | rst = 0
Time = 4180000 | data_in = 9c30 | data_out = acd6 | rst = 0
Time = 4190000 | data_in = 9c30 | data_out = b66a | rst = 0
Time = 4200000 | data_in = c617 | data_out = b66a | rst = 0
Time = 4210000 | data_in = c617 | data_out = b075 | rst = 0
Time = 4220000 | data_in = f008 | data_out = b075 | rst = 0
Time = 4230000 | data_in = f008 | data_out = a0eb | rst = 0
Time = 4240000 | data_in = df21 | data_out = a0eb | rst = 0
Time = 4250000 | data_in = df21 | data_out = 9b12 | rst = 0
Time = 4260000 | data_in = a9df | data_out = 9b12 | rst = 0
Time = 4270000 | data_in = a9df | data_out = a4df | rst = 0
Time = 4280000 | data_in = 990b | data_out = a4df | rst = 0
Time = 4290000 | data_in = 990b | data_out = aeba | rst = 0
Time = 4300000 | data_in = c322 | data_out = aeba | rst = 0
Time = 4310000 | data_in = c322 | data_out = a90d | rst = 0
Time = 4320000 | data_in = ed43 | data_out = a90d | rst = 0
Time = 4330000 | data_in = ed43 | data_out = 99cc | rst = 0
Time = 4340000 | data_in = dc8c | data_out = 99cc | rst = 0
Time = 4350000 | data_in = dc8c | data_out = 943e | rst = 0
Time = 4360000 | data_in = a77c | data_out = 943e | rst = 0
Time = 4370000 | data_in = a77c | data_out = 9e57 | rst = 0
Time = 4380000 | data_in = 96d9 | data_out = 9e57 | rst = 0
Time = 4390000 | data_in = 96d9 | data_out = a87f | rst = 0
Time = 4400000 | data_in = c122 | data_out = a87f | rst = 0
Time = 4410000 | data_in = c122 | data_out = a320 | rst = 0
Time = 4420000 | data_in = eb76 | data_out = a320 | rst = 0
Time = 4430000 | data_in = eb76 | data_out = 942f | rst = 0
Time = 4440000 | data_in = daf1 | data_out = 942f | rst = 0
Time = 4450000 | data_in = daf1 | data_out = 8ef1 | rst = 0
Time = 4460000 | data_in = a613 | data_out = 8ef1 | rst = 0
Time = 4470000 | data_in = a613 | data_out = 995a | rst = 0
Time = 4480000 | data_in = 95a4 | data_out = 995a | rst = 0
Time = 4490000 | data_in = 95a4 | data_out = a3d3 | rst = 0
Time = 4500000 | data_in = c020 | data_out = a3d3 | rst = 0
Time = 4510000 | data_in = c020 | data_out = 9ec6 | rst = 0
